comparison,kind,workload,slo_class,metric,abs_d,signed_d
baseline ↔ baseline,within-arm,balanced_5,critical,ttft_ms,0.21533069292873255,
control ↔ control,within-arm,balanced_5,critical,ttft_ms,0.1531528565716567,
treatment ↔ treatment,within-arm,balanced_5,critical,ttft_ms,0.18593488411412445,
baseline → control,between-arm,balanced_5,critical,ttft_ms,0.12040266971697051,0.033010152028601615
baseline → treatment,between-arm,balanced_5,critical,ttft_ms,0.12362220986404686,0.11119513060752584
baseline ↔ baseline,within-arm,balanced_5,critical,e2e_ms,0.08372181230913424,
control ↔ control,within-arm,balanced_5,critical,e2e_ms,0.09471993001007076,
treatment ↔ treatment,within-arm,balanced_5,critical,e2e_ms,0.09278912130170582,
baseline → control,between-arm,balanced_5,critical,e2e_ms,0.06803244021189823,0.00462734082848026
baseline → treatment,between-arm,balanced_5,critical,e2e_ms,0.04832098588182421,-0.028539971719954687
baseline ↔ baseline,within-arm,balanced_5,critical,tpot_ms,0.3087865429942213,
control ↔ control,within-arm,balanced_5,critical,tpot_ms,0.3342726664185093,
treatment ↔ treatment,within-arm,balanced_5,critical,tpot_ms,0.26828601544885683,
baseline → control,between-arm,balanced_5,critical,tpot_ms,0.24251416244110527,0.010129812851373682
baseline → treatment,between-arm,balanced_5,critical,tpot_ms,0.1559733051927524,-0.12316030974163689
baseline ↔ baseline,within-arm,balanced_5,sheddable,ttft_ms,0.206778127325974,
control ↔ control,within-arm,balanced_5,sheddable,ttft_ms,0.14861001854927303,
treatment ↔ treatment,within-arm,balanced_5,sheddable,ttft_ms,0.18794741174056792,
baseline → control,between-arm,balanced_5,sheddable,ttft_ms,0.11990892636939669,0.0359632099243872
baseline → treatment,between-arm,balanced_5,sheddable,ttft_ms,0.12495886554482949,0.11703636559892193
baseline ↔ baseline,within-arm,balanced_5,sheddable,e2e_ms,0.08240969440840254,
control ↔ control,within-arm,balanced_5,sheddable,e2e_ms,0.09489807019694611,
treatment ↔ treatment,within-arm,balanced_5,sheddable,e2e_ms,0.09086270661578909,
baseline → control,between-arm,balanced_5,sheddable,e2e_ms,0.06731736241711346,0.005048205154634139
baseline → treatment,between-arm,balanced_5,sheddable,e2e_ms,0.0474527122415245,-0.027010358703571307
baseline ↔ baseline,within-arm,balanced_5,sheddable,tpot_ms,0.3103219220465422,
control ↔ control,within-arm,balanced_5,sheddable,tpot_ms,0.3515084243157697,
treatment ↔ treatment,within-arm,balanced_5,sheddable,tpot_ms,0.2667288024303883,
baseline → control,between-arm,balanced_5,sheddable,tpot_ms,0.24835493315378832,0.014463733901425404
baseline → treatment,between-arm,balanced_5,sheddable,tpot_ms,0.15605692046763311,-0.12204233651422848
baseline ↔ baseline,within-arm,balanced_8,critical,ttft_ms,0.1509292557727412,
control ↔ control,within-arm,balanced_8,critical,ttft_ms,0.08715693437154054,
treatment ↔ treatment,within-arm,balanced_8,critical,ttft_ms,0.3323156299328224,
baseline → control,between-arm,balanced_8,critical,ttft_ms,0.06780542368012493,-0.01457562452077255
baseline → treatment,between-arm,balanced_8,critical,ttft_ms,0.017521769150333388,0.01536917856831376
baseline ↔ baseline,within-arm,balanced_8,critical,e2e_ms,0.026135468380565074,
control ↔ control,within-arm,balanced_8,critical,e2e_ms,0.04190529991354538,
treatment ↔ treatment,within-arm,balanced_8,critical,e2e_ms,0.3598314019040597,
baseline → control,between-arm,balanced_8,critical,e2e_ms,0.025309922228687404,0.025309922228687404
baseline → treatment,between-arm,balanced_8,critical,e2e_ms,0.13481114989757695,0.13481114989757695
baseline ↔ baseline,within-arm,balanced_8,critical,tpot_ms,0.05603927824721858,
control ↔ control,within-arm,balanced_8,critical,tpot_ms,0.0837695646869133,
treatment ↔ treatment,within-arm,balanced_8,critical,tpot_ms,0.6856500289623392,
baseline → control,between-arm,balanced_8,critical,tpot_ms,0.05872578030457618,0.05872578030457618
baseline → treatment,between-arm,balanced_8,critical,tpot_ms,0.2655019534066841,0.2655019534066841
baseline ↔ baseline,within-arm,balanced_8,sheddable,ttft_ms,0.15160118876337214,
control ↔ control,within-arm,balanced_8,sheddable,ttft_ms,0.11032321888941947,
treatment ↔ treatment,within-arm,balanced_8,sheddable,ttft_ms,0.332835382978654,
baseline → control,between-arm,balanced_8,sheddable,ttft_ms,0.08032305597167384,-0.020528567772625628
baseline → treatment,between-arm,balanced_8,sheddable,ttft_ms,0.011282872290854973,0.008433556224729686
baseline ↔ baseline,within-arm,balanced_8,sheddable,e2e_ms,0.02613205206246418,
control ↔ control,within-arm,balanced_8,sheddable,e2e_ms,0.04094872860793183,
treatment ↔ treatment,within-arm,balanced_8,sheddable,e2e_ms,0.35727342654092425,
baseline → control,between-arm,balanced_8,sheddable,e2e_ms,0.026393602724031573,0.026393602724031573
baseline → treatment,between-arm,balanced_8,sheddable,e2e_ms,0.13477386814928394,0.13477386814928394
baseline ↔ baseline,within-arm,balanced_8,sheddable,tpot_ms,0.054167640383728455,
control ↔ control,within-arm,balanced_8,sheddable,tpot_ms,0.0771817901167017,
treatment ↔ treatment,within-arm,balanced_8,sheddable,tpot_ms,0.6538884091029552,
baseline → control,between-arm,balanced_8,sheddable,tpot_ms,0.058401623615906374,0.058401623615906374
baseline → treatment,between-arm,balanced_8,sheddable,tpot_ms,0.2552781497481443,0.2552781497481443
baseline ↔ baseline,within-arm,balanced_10,critical,ttft_ms,0.25018482439399337,
control ↔ control,within-arm,balanced_10,critical,ttft_ms,0.2516540466744834,
treatment ↔ treatment,within-arm,balanced_10,critical,ttft_ms,0.13936230765697388,
baseline → control,between-arm,balanced_10,critical,ttft_ms,0.20334329739431015,0.052133417353689364
baseline → treatment,between-arm,balanced_10,critical,ttft_ms,0.13171897069950034,-0.024836114238687156
baseline ↔ baseline,within-arm,balanced_10,critical,e2e_ms,0.09035587199505898,
control ↔ control,within-arm,balanced_10,critical,e2e_ms,0.07717332301737581,
treatment ↔ treatment,within-arm,balanced_10,critical,e2e_ms,0.0669962951756418,
baseline → control,between-arm,balanced_10,critical,e2e_ms,0.04513617334552217,0.02771692414871299
baseline → treatment,between-arm,balanced_10,critical,e2e_ms,0.05423738987640472,-0.006426358119054412
baseline ↔ baseline,within-arm,balanced_10,critical,tpot_ms,0.12614027718989262,
control ↔ control,within-arm,balanced_10,critical,tpot_ms,0.158309246737353,
treatment ↔ treatment,within-arm,balanced_10,critical,tpot_ms,0.10387290539948021,
baseline → control,between-arm,balanced_10,critical,tpot_ms,0.07734769351624092,0.0424212128204392
baseline → treatment,between-arm,balanced_10,critical,tpot_ms,0.0802379429829644,-0.006204485400604305
baseline ↔ baseline,within-arm,balanced_10,sheddable,ttft_ms,0.2478448303473539,
control ↔ control,within-arm,balanced_10,sheddable,ttft_ms,0.2642438634518851,
treatment ↔ treatment,within-arm,balanced_10,sheddable,ttft_ms,0.15230814550010957,
baseline → control,between-arm,balanced_10,sheddable,ttft_ms,0.21231947759470235,0.06423919985864295
baseline → treatment,between-arm,balanced_10,sheddable,ttft_ms,0.1597512940827134,0.09141905013837365
baseline ↔ baseline,within-arm,balanced_10,sheddable,e2e_ms,0.08626275317099051,
control ↔ control,within-arm,balanced_10,sheddable,e2e_ms,0.0780171721402461,
treatment ↔ treatment,within-arm,balanced_10,sheddable,e2e_ms,0.0659907807044103,
baseline → control,between-arm,balanced_10,sheddable,e2e_ms,0.04427779824792801,0.029332716603210306
baseline → treatment,between-arm,balanced_10,sheddable,e2e_ms,0.05062276597929921,-0.0010133844123950085
baseline ↔ baseline,within-arm,balanced_10,sheddable,tpot_ms,0.12341336803865259,
control ↔ control,within-arm,balanced_10,sheddable,tpot_ms,0.1589148187418394,
treatment ↔ treatment,within-arm,balanced_10,sheddable,tpot_ms,0.09988125702816397,
baseline → control,between-arm,balanced_10,sheddable,tpot_ms,0.07674381607306759,0.042176016873776784
baseline → treatment,between-arm,balanced_10,sheddable,tpot_ms,0.07858359860522969,-0.008306784254181488
baseline ↔ baseline,within-arm,balanced_15,critical,ttft_ms,0.18786501869096156,
control ↔ control,within-arm,balanced_15,critical,ttft_ms,0.2974537428001841,
treatment ↔ treatment,within-arm,balanced_15,critical,ttft_ms,0.32648799013554386,
baseline → control,between-arm,balanced_15,critical,ttft_ms,0.20954651842781905,0.13378814618366922
baseline → treatment,between-arm,balanced_15,critical,ttft_ms,1.3614806267469746,-1.3614806267469746
baseline ↔ baseline,within-arm,balanced_15,critical,e2e_ms,0.14784950199232924,
control ↔ control,within-arm,balanced_15,critical,e2e_ms,0.2090500524400225,
treatment ↔ treatment,within-arm,balanced_15,critical,e2e_ms,0.3202266521801033,
baseline → control,between-arm,balanced_15,critical,e2e_ms,0.1543904728296048,0.09431898449586022
baseline → treatment,between-arm,balanced_15,critical,e2e_ms,1.3988638795003343,-1.3988638795003343
baseline ↔ baseline,within-arm,balanced_15,critical,tpot_ms,0.09959345414609988,
control ↔ control,within-arm,balanced_15,critical,tpot_ms,0.12123984361195003,
treatment ↔ treatment,within-arm,balanced_15,critical,tpot_ms,0.3295197611501781,
baseline → control,between-arm,balanced_15,critical,tpot_ms,0.08452173043423929,0.0013523598960698917
baseline → treatment,between-arm,balanced_15,critical,tpot_ms,1.896020773650682,-1.896020773650682
baseline ↔ baseline,within-arm,balanced_15,sheddable,ttft_ms,0.13630163766244505,
control ↔ control,within-arm,balanced_15,sheddable,ttft_ms,0.12656055828185658,
treatment ↔ treatment,within-arm,balanced_15,sheddable,ttft_ms,0.08785631986769624,
baseline → control,between-arm,balanced_15,sheddable,ttft_ms,0.10837453491289385,-0.04029216177841639
baseline → treatment,between-arm,balanced_15,sheddable,ttft_ms,0.4035784988453517,0.4035784988453517
baseline ↔ baseline,within-arm,balanced_15,sheddable,e2e_ms,0.1441605380804102,
control ↔ control,within-arm,balanced_15,sheddable,e2e_ms,0.1299798831796552,
treatment ↔ treatment,within-arm,balanced_15,sheddable,e2e_ms,0.08292508194580618,
baseline → control,between-arm,balanced_15,sheddable,e2e_ms,0.11182998222551194,-0.03778796691529527
baseline → treatment,between-arm,balanced_15,sheddable,e2e_ms,0.37374588257331637,0.37374588257331637
baseline ↔ baseline,within-arm,balanced_15,sheddable,tpot_ms,0.22597030534096563,
control ↔ control,within-arm,balanced_15,sheddable,tpot_ms,0.1274278472443098,
treatment ↔ treatment,within-arm,balanced_15,sheddable,tpot_ms,0.2891650436236783,
baseline → control,between-arm,balanced_15,sheddable,tpot_ms,0.11150675608064575,0.05182327092354607
baseline → treatment,between-arm,balanced_15,sheddable,tpot_ms,0.6266577769554812,-0.6266577769554812
