arm,workload,slo_class,execution,tpot_mean_ms,tpot_mean_loo%,tpot_p95_ms,tpot_p95_loo%,tpot_p99_ms,tpot_p99_loo%
baseline,balanced_5,critical,results.1,18.71003119882761,2.013296116571836,20.92756827586207,2.128589462982113,21.534430880174444,1.850041056778996
baseline,balanced_5,critical,results.2,18.31372350533988,-1.2147808818784112,20.42897014844804,-1.5029375188419105,21.062334760007776,-1.4826709993350886
baseline,balanced_5,critical,results.3,18.36783058825088,-0.7781315805695449,20.553811237067023,-0.6018781060016021,21.224208586930118,-0.34826227788065806
baseline,balanced_5,sheddable,results.1,18.715454210680313,2.0661106042109925,21.05651243378905,2.5803193978914587,21.56965436670856,1.792481243461265
baseline,balanced_5,sheddable,results.2,18.31062045710119,-1.231975795424588,20.438765973881633,-1.9051952843720472,21.072508528904063,-1.7067269790230075
baseline,balanced_5,sheddable,results.3,18.362579099320744,-0.8127150172952511,20.614942100694442,-0.6395768783002975,21.3071527254857,-0.06532840444659282
baseline,balanced_8,critical,results.1,24.03110942817127,0.6522404868291403,30.489492749731465,1.1989233985079466,32.95945553456343,1.3637158577831063
baseline,balanced_8,critical,results.2,23.857583991115703,-0.4363683708748861,30.06697935198356,-0.8983497257814326,32.472593143815665,-0.8756778475365382
baseline,balanced_8,critical,results.3,23.893185016983747,-0.21366919415318456,30.189576203786302,-0.292817081293276,32.559465429898665,-0.47853891923946956
baseline,balanced_8,sheddable,results.1,24.085596362828728,0.7009288500904023,30.957060936897573,1.0005344740380935,34.788975952523955,2.152596614609519
baseline,balanced_8,sheddable,results.2,23.90807614219129,-0.41085402623308914,30.620794742156143,-0.6415996015819442,33.975660004439455,-1.412803216622909
baseline,balanced_8,sheddable,results.3,23.927820979838295,-0.2876015485770305,30.679991631117954,-0.35381618020829586,34.13612002944869,-0.7160597758042427
baseline,balanced_10,critical,results.1,32.30669284397567,0.04495578596100208,45.27366699641339,0.0797898094359645,49.15414736168033,0.3598952539838332
baseline,balanced_10,critical,results.2,32.65921513595363,1.6916866539425923,45.77548931488202,1.753471884893365,49.579709848484846,1.670483273593355
baseline,balanced_10,critical,results.3,31.925136149269626,-1.717263278664115,44.699654732922106,-1.8120396852557286,48.37604675585284,-2.007177430778496
baseline,balanced_10,sheddable,results.1,32.2905147333081,0.09237715553111307,45.414475709102014,0.2862479140245217,49.35399722408026,0.6218195713660468
baseline,balanced_10,sheddable,results.2,32.6220389426676,1.642276511400644,45.73915602893891,1.3666071184401645,49.68122297163384,1.6279607061520227
baseline,balanced_10,sheddable,results.3,31.89938746552462,-1.715814094275382,44.83054151929498,-1.6373990492669337,48.416778901758896,-2.2231105134570885
baseline,balanced_15,critical,results.1,72.03922307332701,0.47403817367459083,80.47295696338837,0.5880048482419205,87.15427686222068,1.7129185072520143
baseline,balanced_15,critical,results.2,71.90425591907655,0.1914972768544871,80.32859774353452,0.3170538471916418,85.50596783413077,-1.1613859437540035
baseline,balanced_15,critical,results.3,71.49442573598637,-0.6631960871816903,79.67647857704402,-0.9008604148604598,85.86710481250002,-0.5363336956807891
baseline,balanced_15,sheddable,results.1,67.54695850900978,1.949065742482349,76.16924736554736,2.8370089827174705,79.53406485013903,3.977550851485192
baseline,balanced_15,sheddable,results.2,66.72683456930056,0.09177013888575332,74.76545533314132,-0.00585011845007214,77.45847434274584,-0.0914421522891186
baseline,balanced_15,sheddable,results.3,65.78435230048328,-2.014606436094456,73.37041154791154,-2.7786052696163885,75.52467288244767,-3.7856534192924673
control,balanced_5,critical,results.1,18.264043548798096,-1.7563102427021167,20.344786734715576,-2.593783650774779,21.002366227166736,-3.0637437381967505
control,balanced_5,critical,results.2,18.479576524366834,-0.017358279245978703,20.712278814313525,0.0458223329246756,21.473002877728963,0.19672252744646745
control,balanced_5,critical,results.3,18.701526086737772,1.7946846255146622,21.060797889075747,2.5928064144067,21.859320934001545,2.927044047662184
control,balanced_5,sheddable,results.1,18.259480879850976,-1.8227932430389857,20.388327980230414,-2.454124155578397,20.98297165583801,-3.0838483418629536
control,balanced_5,sheddable,results.2,18.47551513249064,-0.0809102698593371,20.674599094945357,-0.4024276223182822,21.541085835616435,0.7931007515182733
control,balanced_5,sheddable,results.3,18.7214707729091,1.9271692128093492,21.12794315245478,2.905197740896022,21.76020357144451,2.3430258310482306
control,balanced_8,critical,results.1,24.24212300916297,0.8268831263275801,30.682564736511356,1.4674374967352868,32.95984567140461,0.8602582258796069
control,balanced_8,critical,results.2,23.981575747622287,-0.794299987289525,30.225803822270446,-0.7923451616522357,32.62371161451815,-0.679152096910903
control,balanced_8,critical,results.3,24.105050075749908,-0.02819900927554711,30.251853825284847,-0.6643765344356177,32.7337369012095,-0.1770008952055952
control,balanced_8,sheddable,results.1,24.29501606838671,0.8076422269749652,31.191066428541138,1.326635659373433,34.55677346792375,0.9360374044874666
control,balanced_8,sheddable,results.2,24.041522284356155,-0.7660667653865751,30.803786803530876,-0.5570229062226819,34.138362910277074,-0.8917015413749853
control,balanced_8,sheddable,results.3,24.15922030157775,-0.037441137086174955,30.7615977087807,-0.760801566454245,34.33425471278687,-0.038761044858385114
control,balanced_10,critical,results.1,32.03621406865083,-2.3346382327479076,44.60627316666666,-3.5183608354498,48.47043005990125,-3.35728918351019
control,balanced_10,critical,results.2,32.62441208512928,0.35833867655188895,45.99969691192266,1.0178602109749666,49.77981995080783,0.5661899242662553
control,balanced_10,critical,results.3,32.97963317504566,2.008394093219443,46.46613089307619,2.567481707381193,50.528686816845685,2.8571160100623993
control,balanced_10,sheddable,results.1,32.00010330039577,-2.3835420869856936,44.973270831188884,-2.6679827433645866,48.78706366451975,-2.8090661251766305
control,balanced_10,sheddable,results.2,32.60826236984223,0.4029839082709122,46.02327727876865,0.7491959941414829,49.886054937583424,0.4802166196703531
control,balanced_10,sheddable,results.3,32.95466417869317,2.013613366709311,46.3888027310555,1.9572801267156759,50.50821378578296,2.37482001446825
control,balanced_15,critical,results.1,71.54058403827472,-0.5894085086082588,79.38482085001756,-0.9540333617462997,84.46255754116304,-2.6692819027378007
control,balanced_15,critical,results.2,71.72645098029834,-0.20225723410578406,80.2346936315626,0.6398989235834665,86.87980692683733,1.5303202689488657
control,balanced_15,critical,results.3,72.2030498203676,0.7950640019977273,80.06425350266107,0.3188786317231479,86.67805680280233,1.1752780136172207
control,balanced_15,sheddable,results.1,66.84528768742015,-0.5560565410376246,75.38542225911975,-0.12203102814185812,79.84800821078429,0.027157804236848538
control,balanced_15,sheddable,results.2,66.70837962479305,-0.8606917211870032,75.16423465975858,-0.5607857309197393,79.5946218719807,-0.4482637675113311
control,balanced_15,sheddable,results.3,67.72974775096866,1.4270129964074902,75.79082186599142,0.6854793522781537,80.05803639319728,0.42237305247661716
treatment,balanced_5,critical,results.1,18.398007896263668,0.7508194954226616,20.59343457440294,1.0672545516968457,21.238714499943928,0.3642365949572785
treatment,balanced_5,critical,results.2,18.089779975078052,-1.7661428212114174,20.16151089192447,-2.090245952494738,20.80477290344477,-2.6841504472448325
treatment,balanced_5,critical,results.3,18.432023000627833,1.0311892056615024,20.590431298944498,1.0450685841635703,21.518499251072964,2.363055874088016
treatment,balanced_5,sheddable,results.1,18.398087014425236,0.7670211961588145,20.605136208125444,0.7752155261813024,21.307898994553835,0.2860447920671438
treatment,balanced_5,sheddable,results.2,18.086291322090666,-1.7793608511196917,20.2187662615473,-2.0399865449482317,20.834018412713057,-3.0257060076125204
treatment,balanced_5,sheddable,results.3,18.42979657259955,1.0284259340323132,20.67449524236335,1.2862268996552455,21.66022700046199,2.7965898710006667
treatment,balanced_8,critical,results.1,24.186222495198056,-4.31740056520998,30.791453015495854,-7.263599870278725,33.12382820289856,-7.447717929737845
treatment,balanced_8,critical,results.2,23.98091113220542,-5.513351935965498,30.2957248327003,-9.432703974642184,32.66283948971485,-9.31978916925199
treatment,balanced_8,critical,results.3,26.574200535055553,10.34163145608828,36.11067647773279,18.22669748296156,38.91579144615385,18.30905200423566
treatment,balanced_8,sheddable,results.1,24.2409536041741,-4.341567255511334,31.32810971698113,-7.237364176346711,34.582531086687084,-7.381264254821919
treatment,balanced_8,sheddable,results.2,24.036064941022076,-5.531985630220562,30.843313138695937,-9.32367065610749,34.226168662021955,-8.77102029659947
treatment,balanced_8,sheddable,results.3,26.646249014347912,10.388958628015196,36.70136029326115,18.065048562451675,40.451013677918425,17.57528866450451
treatment,balanced_10,critical,results.1,31.965839219071295,-1.3564503014779183,44.563052346249556,-1.2288219168281758,47.37438098313165,-1.2030493060756475
treatment,balanced_10,critical,results.2,32.25081975908533,-0.037480709888652076,44.848482584732345,-0.2807529714652524,47.623279801169595,-0.4255543232068749
treatment,balanced_10,critical,results.3,32.55998503609171,1.4066616177183129,45.38644872027758,1.5225804037746478,48.27923672466686,1.643001156182577
treatment,balanced_10,sheddable,results.1,31.93135882638388,-1.3390650271254765,44.65591357148059,-1.2738826182652205,47.41083524311799,-1.6513008858100169
treatment,balanced_10,sheddable,results.2,32.22312825954201,0.013250576300511633,45.004344719894476,-0.11886341706953041,47.9618507761982,0.06359662489503302
treatment,balanced_10,sheddable,results.3,32.50635932369035,1.3377576541221827,45.4598905924573,1.4047727694987984,48.45190084459459,1.6054026931388936
treatment,balanced_15,critical,results.1,60.27382678676916,0.5402835508506395,71.06962642614599,0.7686384777917554,77.55010793748444,2.291034083526215
treatment,balanced_15,critical,results.2,61.083693240824545,2.584095108592408,71.91412199999999,2.580183877874563,77.37265944490473,1.9376761964467126
treatment,balanced_15,critical,results.3,58.816161141989575,-3.069606022574901,69.14092746721876,-3.288411126063802,74.25374385093163,-4.140953449851148
treatment,balanced_15,sheddable,results.1,60.903677267756,-0.3636283775459602,74.52754268363216,-1.3597132750854715,81.2819617123288,-1.735649038852138
treatment,balanced_15,sheddable,results.2,62.59787996544049,3.8471750185898443,78.16267112989324,6.001525083104042,85.10409123651367,5.318262354624529
treatment,balanced_15,sheddable,results.3,59.6540171601083,-3.395522296987436,72.94707349498329,-4.4508856552251705,80.33120837578697,-3.4399735409483654
